date,scenic_id,scenic_name,altitude,scenic_type,temp_mean,temp_max,temp_min,rain_sum,snow_sum,weather_code,weather_desc,is_holiday,holiday_name,is_weekend,holiday_length,weekday,weather_factor,altitude_factor,holiday_factor,seasonal_factor,visitor_count
2024-01-01,1,梅花山风景区,2400,mountain,9.3,14.4,4.9,6.9,0.0,61,小雨,1,元旦,0,1,1,0.64,0.96,1.8,0.75,1235
2024-01-01,2,玉舍国家森林公园,2300,forest,9.3,14.4,4.9,6.9,0.0,61,小雨,1,元旦,0,1,1,0.64,0.962,1.8,0.75,988
2024-01-01,3,乌蒙大草原,2857,grassland,9.3,14.4,4.9,6.9,0.0,61,小雨,1,元旦,0,1,1,0.64,0.952,1.8,0.75,1472
2024-01-01,4,水城古镇,1800,ancient_town,9.3,14.4,4.9,6.9,0.0,61,小雨,1,元旦,0,1,1,0.846,0.97,2.07,0.75,1318
2024-01-01,5,明湖国家湿地公园,1750,wetland,9.3,14.4,4.9,6.9,0.0,61,小雨,1,元旦,0,1,1,0.512,0.971,1.89,0.75,630
2024-01-02,1,梅花山风景区,2400,mountain,6.4,11.3,4.2,4.1,0.14,71,小雪,0,,0,0,2,0.64,0.96,1.0,0.75,639
2024-01-02,2,玉舍国家森林公园,2300,forest,6.4,11.3,4.2,4.1,0.14,71,小雪,0,,0,0,2,0.64,0.962,1.0,0.75,563
2024-01-02,3,乌蒙大草原,2857,grassland,6.4,11.3,4.2,4.1,0.14,71,小雪,0,,0,0,2,0.64,0.952,1.0,0.75,811
2024-01-02,4,水城古镇,1800,ancient_town,6.4,11.3,4.2,4.1,0.14,71,小雪,0,,0,0,2,0.846,0.97,1.0,0.75,608
2024-01-02,5,明湖国家湿地公园,1750,wetland,6.4,11.3,4.2,4.1,0.14,71,小雪,0,,0,0,2,0.512,0.971,1.0,0.75,337
2024-01-03,1,梅花山风景区,2400,mountain,4.7,7.5,2.6,0.0,0.0,3,阴,0,,0,0,3,0.5,0.84,1.0,0.75,477
2024-01-03,2,玉舍国家森林公园,2300,forest,4.7,7.5,2.6,0.0,0.0,3,阴,0,,0,0,3,0.5,0.847,1.0,0.75,403
2024-01-03,3,乌蒙大草原,2857,grassland,4.7,7.5,2.6,0.0,0.0,3,阴,0,,0,0,3,0.5,0.81,1.0,0.75,564
2024-01-03,4,水城古镇,1800,ancient_town,4.7,7.5,2.6,0.0,0.0,3,阴,0,,0,0,3,0.75,0.88,1.0,0.75,497
2024-01-03,5,明湖国家湿地公园,1750,wetland,4.7,7.5,2.6,0.0,0.0,3,阴,0,,0,0,3,0.5,0.883,1.0,0.75,287
2024-01-04,1,梅花山风景区,2400,mountain,7.7,13.9,4.4,0.3,0.0,51,小雨,0,,0,0,4,0.8,0.96,1.0,0.75,820
2024-01-04,2,玉舍国家森林公园,2300,forest,7.7,13.9,4.4,0.3,0.0,51,小雨,0,,0,0,4,0.8,0.962,1.0,0.75,700
2024-01-04,3,乌蒙大草原,2857,grassland,7.7,13.9,4.4,0.3,0.0,51,小雨,0,,0,0,4,0.8,0.952,1.0,0.75,1096
2024-01-04,4,水城古镇,1800,ancient_town,7.7,13.9,4.4,0.3,0.0,51,小雨,0,,0,0,4,0.9,0.97,1.0,0.75,656
2024-01-04,5,明湖国家湿地公园,1750,wetland,7.7,13.9,4.4,0.3,0.0,51,小雨,0,,0,0,4,0.8,0.971,1.0,0.75,521
2024-01-05,1,梅花山风景区,2400,mountain,7.4,11.7,5.4,0.9,0.0,51,小雨,0,,0,0,5,0.8,0.96,1.0,0.75,886
