date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,weathercode,sunshine_duration,windspeed_10m_max,winddirection_10m_dominant,weather_description
2024-01-01,14.4,4.9,9.3,6.9,6.9,0.0,61,31964.16,17.1,137,小雨
2024-01-02,11.3,4.2,6.4,4.3,4.1,0.14,71,7423.38,20.4,15,小雪
2024-01-03,7.5,2.6,4.7,0.0,0.0,0.0,3,759.31,14.6,140,阴
2024-01-04,13.9,4.4,7.7,0.3,0.3,0.0,51,28336.08,19.7,169,小雨
2024-01-05,11.7,5.4,7.4,0.9,0.9,0.0,51,15759.78,9.7,77,小雨
2024-01-06,11.1,5.8,7.4,1.4,1.4,0.0,51,15765.26,16.3,147,小雨
2024-01-07,13.1,6.3,8.7,5.4,5.4,0.0,63,21943.73,10.4,81,中雨
2024-01-08,13.9,5.7,7.8,0.2,0.2,0.0,51,18000.0,17.0,132,小雨
2024-01-09,11.3,4.0,7.5,0.0,0.0,0.0,3,25687.29,14.2,46,阴
2024-01-10,9.0,4.8,6.5,0.3,0.3,0.0,51,545.0,18.2,147,小雨
2024-01-11,11.4,5.1,7.6,6.1,6.1,0.0,61,10451.8,13.9,122,小雨
2024-01-12,13.4,7.3,8.9,1.1,1.1,0.0,51,17011.23,14.6,156,小雨
2024-01-13,16.6,7.3,10.5,0.0,0.0,0.0,3,32834.61,13.9,189,阴
2024-01-14,15.4,6.8,10.2,0.2,0.2,0.0,51,29882.63,18.3,161,小雨
2024-01-15,18.2,8.7,11.8,0.9,0.9,0.0,51,25586.31,24.8,171,小雨
2024-01-16,17.8,7.8,11.3,0.2,0.2,0.0,51,29443.69,26.2,189,小雨
2024-01-17,15.6,7.8,10.7,0.7,0.7,0.0,51,22499.95,24.9,186,小雨
2024-01-18,18.9,5.2,10.6,0.0,0.0,0.0,3,37155.05,22.9,209,阴
2024-01-19,11.0,4.1,7.1,5.5,5.5,0.0,63,14276.84,13.0,29,中雨
2024-01-20,8.5,4.9,6.3,1.0,1.0,0.0,51,0.0,17.2,111,小雨
2024-01-21,6.2,0.8,4.4,7.8,6.2,1.12,73,0.0,21.3,102,中雪
2024-01-22,1.4,-3.6,-1.2,5.5,0.3,3.64,73,18113.27,22.0,28,中雪
2024-01-23,-0.2,-3.3,-2.2,0.2,0.0,0.14,71,411.12,13.5,141,小雪
2024-01-24,-0.2,-4.1,-2.2,2.9,1.7,0.84,73,0.0,10.5,96,中雪
2024-01-25,0.4,-3.9,-2.0,0.6,0.3,0.21,71,0.0,12.6,136,小雪
2024-01-26,0.6,-3.5,-1.6,0.3,0.2,0.07,71,0.0,11.5,103,小雪
2024-01-27,2.2,-2.5,-0.7,0.2,0.1,0.07,71,0.0,12.6,51,小雪
2024-01-28,2.7,-1.9,0.1,0.3,0.2,0.07,71,0.0,10.5,116,小雪
2024-01-29,12.3,0.4,4.5,0.0,0.0,0.0,3,25417.12,16.9,174,阴
2024-01-30,15.8,2.3,7.3,1.1,1.1,0.0,53,38202.58,16.3,172,中雨
2024-01-31,17.7,5.1,10.6,0.0,0.0,0.0,3,38248.82,33.4,213,阴
2024-02-01,15.3,0.2,6.8,0.1,0.1,0.0,51,38294.48,22.2,140,小雨
2024-02-02,18.7,4.8,10.5,0.6,0.6,0.0,51,38339.54,31.1,205,小雨
2024-02-03,12.3,1.1,7.1,8.4,8.4,0.0,63,21354.47,18.8,152,中雨
2024-02-04,14.4,0.9,6.7,0.2,0.2,0.0,51,31095.04,18.7,138,小雨
2024-02-05,6.3,1.6,4.5,1.3,1.3,0.0,51,216.24,14.1,89,小雨
2024-02-06,7.8,0.8,3.2,0.9,0.9,0.0,51,5981.07,14.5,64,小雨
2024-02-07,3.4,-0.1,1.1,0.0,0.0,0.0,3,0.0,14.3,47,阴
2024-02-08,3.6,-0.6,0.9,0.0,0.0,0.0,3,0.0,14.5,64,阴
2024-02-09,9.8,0.1,3.8,0.0,0.0,0.0,3,32017.64,15.9,15,阴
2024-02-10,13.7,-1.4,5.2,0.0,0.0,0.0,2,38692.91,13.7,186,多云
2024-02-11,13.5,-0.5,6.4,0.0,0.0,0.0,3,38735.91,24.1,186,阴
2024-02-12,17.3,0.4,8.5,2.0,2.0,0.0,55,36000.0,24.6,175,大雨
2024-02-13,20.7,2.2,10.6,0.0,0.0,0.0,0,38820.86,16.3,201,晴
2024-02-14,19.4,4.9,10.4,0.0,0.0,0.0,3,38862.77,22.0,105,阴
2024-02-15,7.8,3.5,5.4,1.1,1.1,0.0,51,0.0,20.3,10,小雨
2024-02-16,15.4,4.0,7.8,0.0,0.0,0.0,3,24545.38,17.9,173,阴
2024-02-17,21.7,4.2,12.3,0.0,0.0,0.0,1,38986.05,31.6,214,晴转多云
2024-02-18,24.1,11.6,16.6,0.0,0.0,0.0,0,39438.89,40.2,232,晴
2024-02-19,23.3,6.4,15.7,0.0,0.0,0.0,2,39452.67,29.1,209,多云
2024-02-20,23.5,12.4,17.6,0.0,0.0,0.0,0,39465.71,40.6,222,晴
2024-02-21,23.1,5.8,14.8,0.0,0.0,0.0,3,39741.32,29.8,225,阴
2024-02-22,15.2,2.2,7.2,0.0,0.0,0.0,3,29164.34,26.4,117,阴
2024-02-23,8.4,1.9,5.0,0.0,0.0,0.0,3,20298.5,20.4,121,阴
2024-02-24,7.4,-0.4,3.0,0.1,0.1,0.0,51,12472.85,13.5,97,小雨
2024-02-25,12.3,1.7,5.6,0.0,0.0,0.0,3,28972.77,22.1,146,阴
2024-02-26,8.4,-0.7,3.3,0.0,0.0,0.0,3,25387.93,19.0,107,阴
2024-02-27,9.6,-0.4,3.3,0.0,0.0,0.0,3,26782.08,19.0,115,阴
2024-02-28,10.9,0.9,4.6,0.3,0.3,0.0,51,25111.17,21.2,96,小雨
2024-02-29,8.2,0.2,3.3,0.0,0.0,0.0,3,18253.74,19.4,57,阴
2024-03-01,8.9,1.1,3.1,1.4,1.1,0.21,71,16821.29,18.8,96,小雪
2024-03-02,10.6,0.8,4.0,0.2,0.2,0.0,51,24839.22,19.6,138,小雨
2024-03-03,17.0,1.5,7.2,0.0,0.0,0.0,3,39540.39,21.8,150,阴
2024-03-04,28.0,5.0,14.9,0.0,0.0,0.0,2,40854.06,26.9,221,多云
2024-03-05,17.5,3.3,9.5,0.0,0.0,0.0,3,36000.0,22.2,63,阴
2024-03-06,10.7,4.7,7.0,0.2,0.2,0.0,51,7405.62,21.8,52,小雨
2024-03-07,7.8,4.2,5.8,0.8,0.8,0.0,51,18.28,17.6,50,小雨
2024-03-08,10.2,4.2,6.6,2.3,2.3,0.0,51,12146.2,20.7,142,小雨
2024-03-09,11.4,4.6,7.2,1.2,1.2,0.0,51,5175.24,19.5,107,小雨
2024-03-10,11.5,6.1,8.0,2.0,2.0,0.0,51,9176.16,20.4,99,小雨
2024-03-11,17.9,4.8,10.4,0.5,0.5,0.0,51,42146.09,17.6,178,小雨
2024-03-12,17.2,4.8,11.0,0.0,0.0,0.0,3,36696.32,25.8,154,阴
2024-03-13,13.4,8.1,10.4,0.9,0.9,0.0,51,7978.39,17.6,51,小雨
2024-03-14,13.5,7.4,9.7,1.2,1.2,0.0,51,11401.38,19.2,129,小雨
2024-03-15,20.9,9.2,13.1,0.1,0.1,0.0,51,36000.0,20.7,160,小雨
2024-03-16,21.1,10.5,13.8,2.6,2.6,0.0,51,29631.32,22.8,131,小雨
2024-03-17,19.5,9.5,13.4,0.0,0.0,0.0,3,28684.65,22.0,106,阴
2024-03-18,13.3,6.1,9.7,1.9,1.9,0.0,53,21824.29,25.4,12,中雨
2024-03-19,11.1,5.0,7.2,1.2,1.2,0.0,51,1434.6,21.6,41,小雨
2024-03-20,13.0,6.5,8.8,0.6,0.6,0.0,51,11691.9,14.6,153,小雨
2024-03-21,22.9,3.5,13.0,0.0,0.0,0.0,3,42785.94,23.2,150,阴
2024-03-22,25.8,8.7,16.6,0.0,0.0,0.0,3,39600.0,28.5,195,阴
2024-03-23,24.9,11.4,18.1,0.0,0.0,0.0,0,42918.79,22.6,202,晴
2024-03-24,25.8,12.4,18.6,0.0,0.0,0.0,2,42985.29,29.0,215,多云
2024-03-25,21.4,7.7,14.0,0.0,0.0,0.0,3,43051.73,17.2,34,阴
2024-03-26,22.3,9.7,15.2,0.0,0.0,0.0,3,32702.32,29.0,157,阴
2024-03-27,26.4,11.2,16.8,0.3,0.3,0.0,51,43184.07,35.4,233,小雨
2024-03-28,20.8,7.2,12.8,6.9,6.9,0.0,63,42427.61,24.2,354,中雨
2024-03-29,21.3,8.2,14.4,1.7,1.7,0.0,53,43200.0,22.8,200,中雨
