alpha_arima,beta_lstm,RMSE,MAE,MAPE(%),scenic_id,scenic_name
0.0,1.0,378.02,243.89,16.09,1,梅花山风景区
0.05,0.95,408.36,263.3,17.71,1,梅花山风景区
0.1,0.9,448.11,293.79,20.46,1,梅花山风景区
0.15,0.85,495.01,327.62,23.52,1,梅花山风景区
0.2,0.8,547.24,366.8,27.04,1,梅花山风景区
0.25,0.75,603.4,410.97,31.02,1,梅花山风景区
0.3,0.7,662.5,457.28,35.23,1,梅花山风景区
0.35,0.65,723.82,504.93,39.53,1,梅花山风景区
0.4,0.6,786.84,553.09,43.85,1,梅花山风景区
0.45,0.55,851.18,601.74,48.21,1,梅花山风景区
0.5,0.5,916.56,651.8,52.62,1,梅花山风景区
0.55,0.45,982.79,702.13,57.04,1,梅花山风景区
0.6,0.4,1049.69,752.66,61.48,1,梅花山风景区
0.65,0.35,1117.14,803.27,65.92,1,梅花山风景区
0.7,0.3,1185.06,854.94,70.42,1,梅花山风景区
0.75,0.25,1253.36,906.83,74.92,1,梅花山风景区
0.8,0.2,1321.98,959.45,79.46,1,梅花山风景区
0.85,0.15,1390.89,1013.48,84.06,1,梅花山风景区
0.9,0.1,1460.03,1067.76,88.67,1,梅花山风景区
0.95,0.05,1529.38,1122.05,93.28,1,梅花山风景区
1.0,0.0,1598.91,1176.33,97.88,1,梅花山风景区
0.0,1.0,250.9,185.95,16.34,2,玉舍国家森林公园
0.05,0.95,262.36,198.35,17.94,2,玉舍国家森林公园
0.1,0.9,285.92,214.97,20.16,2,玉舍国家森林公园
0.15,0.85,318.93,239.5,23.06,2,玉舍国家森林公园
0.2,0.8,358.77,270.05,26.52,2,玉舍国家森林公园
0.25,0.75,403.44,304.14,30.46,2,玉舍国家森林公园
0.3,0.7,451.49,339.53,34.52,2,玉舍国家森林公园
0.35,0.65,501.97,377.36,38.79,2,玉舍国家森林公园
0.4,0.6,554.2,416.26,43.14,2,玉舍国家森林公园
0.45,0.55,607.74,455.67,47.52,2,玉舍国家森林公园
0.5,0.5,662.27,495.5,51.93,2,玉舍国家森林公园
0.55,0.45,717.56,535.83,56.37,2,玉舍国家森林公园
